[12-24-2024][00.00.22] New Synch Log File Created!
[00:44:45] Player (BILL, 76561198814955756)(<11127.880859, 106.702026, 9501.662109>) requested data for lock!
[03:00:50] Player (Michael Gramlin, 76561197999377814)(<12457.237305, 48.206120, 8419.958008>) requested data for lock!
[12-24-2024][05.00.22] Log file reloaded ( Server Restart )
[12-24-2024][09.00.21] Log file reloaded ( Server Restart )
[10:47:35] Player (Daryl Dixon, 76561199643612211)(<9318.663086, 54.329174, 13091.610352>) requested data for lock!
[10:47:35] Player (Daryl Dixon, 76561199643612211)(<9317.154297, 54.329174, 13091.982422>) requested data for lock!
[10:47:35] Player (Daryl Dixon, 76561199643612211)(<9316.858398, 54.329174, 13092.093750>) requested data for lock!
[11:11:36] Player (Daryl Dixon, 76561199643612211)(<9318.663086, 54.329174, 13091.610352>) requested data for lock!
[11:11:36] Player (Daryl Dixon, 76561199643612211)(<9317.154297, 54.329174, 13091.982422>) requested data for lock!
[11:11:36] Player (Daryl Dixon, 76561199643612211)(<9316.858398, 54.329174, 13092.093750>) requested data for lock!
[11:11:51] Player (Daryl Dixon, 76561199643612211)(<9316.858398, 54.329174, 13092.093750>) requested data for lock!
[11:11:53] Player (Daryl Dixon, 76561199643612211)(<9318.663086, 54.329174, 13091.610352>) requested data for lock!
[11:11:53] Player (Daryl Dixon, 76561199643612211)(<9317.154297, 54.329174, 13091.982422>) requested data for lock!
[11:12:00] Player (Daryl Dixon, 76561199643612211)(<9318.663086, 54.329174, 13091.610352>) requested data for lock!
[11:12:00] Player (Daryl Dixon, 76561199643612211)(<9317.154297, 54.329174, 13091.982422>) requested data for lock!
[11:12:00] Player (Daryl Dixon, 76561199643612211)(<9316.858398, 54.329174, 13092.093750>) requested data for lock!
[11:28:13] Player (Daryl Dixon, 76561199643612211)(<9318.663086, 54.329174, 13091.610352>) requested data for lock!
[11:28:26] Player (Daryl Dixon, 76561199643612211)(<9318.663086, 54.329174, 13091.610352>) requested data for lock!
[12:18:20] Player (Daryl Dixon, 76561199643612211)(<7334.517578, 83.857002, 12397.041992>) requested data for lock!
[12:18:20] Player (Daryl Dixon, 76561199643612211)(<7334.590332, 81.730453, 12397.067383>) requested data for lock!
[12:18:23] Player (Daryl Dixon, 76561199643612211)(<7334.545410, 81.730453, 12396.727539>) requested data for lock!
[12:18:23] Player (Daryl Dixon, 76561199643612211)(<7334.615234, 81.730453, 12396.931641>) requested data for lock!
[12:23:49] Player (Daryl Dixon, 76561199643612211)(<7334.517578, 83.857002, 12397.041992>) requested data for lock!
[12:23:49] Player (Daryl Dixon, 76561199643612211)(<7334.590332, 81.730453, 12397.067383>) requested data for lock!
[12:23:49] Player (Daryl Dixon, 76561199643612211)(<7334.545410, 81.730453, 12396.727539>) requested data for lock!
[12:23:49] Player (Daryl Dixon, 76561199643612211)(<7334.615234, 81.730453, 12396.931641>) requested data for lock!
[12:23:52] Player (Daryl Dixon, 76561199643612211)(<7355.947266, 84.361282, 12388.909180>) requested data for lock!
[12:23:52] Player (Daryl Dixon, 76561199643612211)(<7355.812500, 81.730453, 12388.950195>) requested data for lock!
[12:23:52] Player (Daryl Dixon, 76561199643612211)(<7359.518066, 86.602303, 12394.140625>) requested data for lock!
[12:23:52] Player (Daryl Dixon, 76561199643612211)(<7355.248535, 81.730453, 12388.920898>) requested data for lock!
[12:23:52] Player (Daryl Dixon, 76561199643612211)(<7355.576172, 81.730453, 12388.914063>) requested data for lock!
